Compound ID,Attrition Resistance,Thermal Stability,Average Particle Size,Particle Size Distribution (%),Density,Rare Earth Oxides (%),Catalyst Surface Area ,Micropore Surface Area ,Zeolite Surface Area ,X-Ray Fluorescence (a.u.),Cost 
CMPD-1033,81.0137,774.6602,60.1129,15.1717,1.0976,3.3782,276.5076,49.1648,84.1263,0.8762,42.9099
CMPD-1034,91.6961,657.5583,58.8291,20.1906,1.4229,3.4632,243.9867,111.6792,105.0226,0.7261,41.6621
CMPD-1035,84.6295,640.9685,98.6508,24.7018,1.2242,1.604,161.7158,59.9562,131.0278,0.1429,26.291
CMPD-1036,96.6083,834.9425,93.6767,17.0006,1.0522,3.4614,261.3368,145.66,183.7358,0.4351,13.2927
CMPD-1037,82.7067,667.2346,98.7866,24.0079,1.2654,1.6974,163.9418,61.0202,126.6871,0.1564,25.3146
CMPD-1038,94.8727,645.5492,57.9056,20.0533,1.4214,3.5543,235.1679,105.0674,114.946,0.7366,41.8608
CMPD-1039,85.5665,579.1972,97.7453,20.1947,1.5553,1.9083,189.735,82.9232,73.6707,0.8679,13.2438
CMPD-1040,92.7533,813.6576,95.186,15.7148,1.0927,3.5395,265.1813,146.8863,175.0004,0.4327,12.5316
CMPD-1041,92.736,678.741,57.0099,20.2611,1.3651,3.5414,224.8974,109.7294,106.9553,0.6974,39.2359
CMPD-1042,79.8658,664.1984,96.0131,23.6782,1.2294,1.6501,161.7972,61.9749,130.518,0.1506,25.5579
CMPD-1043,92.4944,747.6571,94.4276,12.3359,1.1083,0.9077,222.1766,63.8008,116.275,0.4173,14.3565
CMPD-1044,93.8703,711.5336,72.0539,16.1028,1.3626,1.4972,210.8413,68.2215,53.5043,0.8459,19.489
CMPD-1045,94.7379,705.9799,72.3035,15.2375,1.3757,1.5333,225.1781,71.1528,57.5028,0.8443,18.9283
CMPD-1046,80.5416,726.9948,61.3618,16.4736,1.0444,3.2307,297.0845,55.632,79.4075,0.906,45.4636
CMPD-1047,82.0619,600.6748,97.5747,20.7847,1.447,1.886,190.8331,77.4822,73.1315,0.8422,14.1673
CMPD-1048,91.4765,840.8283,93.7562,16.2964,1.057,3.5192,259.6355,143.5108,185.9689,0.4405,12.1331
CMPD-1049,96.429,680.3559,70.3463,15.4712,1.4283,1.531,221.1583,65.9612,52.6495,0.8203,19.2936
CMPD-1050,83.4089,655.0343,101.8976,24.7906,1.2071,1.6545,160.7015,64.106,127.8796,0.1469,24.8824
CMPD-1051,88.9356,839.5582,95.9618,16.2691,1.031,3.4262,254.1087,142.9475,180.893,0.4436,12.738
CMPD-1052,96.998,738.5333,91.0526,11.7377,1.1398,0.8866,244.9529,61.8947,119.3373,0.4225,13.6676
CMPD-1053,93.4238,684.3124,52.9076,19.1302,1.3505,3.4746,239.6323,109.7586,113.8467,0.7871,41.882
CMPD-1054,94.765,743.037,87.4074,11.4138,1.135,0.8513,225.845,64.1961,113.0648,0.4107,14.585
CMPD-1055,87.0294,621.0821,103.4514,23.8064,1.2172,1.6237,157.7165,57.9799,125.7539,0.1484,24.9558
CMPD-1056,93.2712,879.4982,61.8672,20.7356,1.1775,1.3971,110.9935,112.4347,79.1352,0.873,43.1065
CMPD-1057,82.7874,634.088,105.7104,24.4623,1.2178,1.7368,163.7465,62.8371,131.9265,0.1574,24.3527
CMPD-1058,81.2266,740.0999,63.0726,16.6497,1.0749,3.2711,285.4206,54.6341,75.7731,0.9289,39.5327
CMPD-1059,99.2815,834.5882,97.8269,15.6282,1.0113,3.7338,268.8849,141.5984,187.4088,0.4474,12.5447
CMPD-1060,78.6065,614.8032,94.2624,20.5146,1.437,1.9721,188.3926,80.3164,76.4146,0.8581,14.1577
CMPD-1061,82.3927,725.3343,58.8662,15.5182,1.0618,3.3533,305.3402,52.4023,77.9317,0.8978,43.646
CMPD-1062,95.1405,689.45,92.7087,11.4136,1.1669,0.8592,238.3967,63.7526,110.8825,0.4309,13.2344
CMPD-1063,80.2551,611.8312,91.519,20.2516,1.4966,2.0373,189.8469,84.0242,73.5072,0.8644,13.3679
CMPD-1064,81.1055,602.4267,98.4921,22.0338,1.4695,1.9169,188.3642,88.753,72.7002,0.8495,13.4489
CMPD-1065,92.7561,681.4673,58.6473,18.4447,1.3712,3.5493,251.3716,110.3919,108.6993,0.7106,40.7738
CMPD-1066,81.9884,753.5952,60.8589,15.6681,1.0308,3.2914,297.8854,53.6289,80.816,0.8467,40.7263
CMPD-1067,96.5062,677.0864,55.7109,19.5829,1.3576,3.5269,237.1517,111.6011,105.5107,0.6905,41.1705
CMPD-1068,80.6539,726.9569,64.0327,16.6985,1.0795,3.261,284.9976,51.5828,78.9978,0.8876,43.1885
CMPD-1069,79.0019,741.9813,59.5064,16.2132,1.038,3.3684,301.918,50.3995,79.9928,0.8992,42.5886
CMPD-1070,83.4151,597.68,92.8992,20.3906,1.4744,1.8982,188.4688,83.2492,71.4448,0.8373,14.363
CMPD-1071,94.1305,892.185,95.8262,16.3017,1.0311,3.2633,270.8516,143.5813,188.0779,0.4601,12.2067
CMPD-1072,89.4775,723.6475,88.631,12.2965,1.1207,0.8522,227.1845,61.4566,116.164,0.4307,14.359
CMPD-1073,83.9029,603.7601,93.5505,22.6191,1.4975,2.0096,194.3497,83.4147,74.0426,0.88,14.43
CMPD-1074,98.2433,686.5984,55.6148,19.7035,1.3712,3.6232,242.3535,105.2763,115.7509,0.7537,40.216
CMPD-1075,94.1677,726.3856,89.311,12.2476,1.1394,0.8683,251.6932,62.0907,108.7453,0.429,14.6407
CMPD-1076,98.3048,678.6775,72.6091,16.0737,1.3885,1.4929,223.2607,71.4601,54.1952,0.8255,18.3755
CMPD-1077,79.8532,723.9413,60.8144,16.3597,1.0144,3.3345,298.1591,52.6165,79.1984,0.87,42.9789
CMPD-1078,87.9,809.1794,64.3769,22.6994,1.1894,1.4265,105.2983,107.157,81.8638,0.9119,43.5805
CMPD-1079,83.5746,622.9254,94.9554,21.7711,1.4428,1.945,191.083,80.4391,73.5927,0.8926,13.766
CMPD-1080,94.6004,797.1627,99.9481,16.7146,1.0622,3.5793,258.0793,147.0886,183.3697,0.4446,11.9864
CMPD-1081,83.6092,625.6758,99.847,23.2236,1.2131,1.5945,157.8434,61.7027,126.4903,0.144,26.0395
CMPD-1082,80.6586,726.4871,62.2337,16.9251,1.0468,3.4317,300.7026,51.5388,79.6871,0.9142,44.0043
CMPD-1083,91.7447,840.4062,63.7209,21.192,1.2234,1.3474,98.3492,110.7239,82.8221,0.8543,45.0933
CMPD-1084,85.8997,645.0605,93.7637,22.8914,1.4747,1.9273,192.1583,81.2694,74.7825,0.8994,13.8104
CMPD-1085,85.3773,594.1952,96.1039,21.7113,1.5085,1.978,202.6066,86.2945,72.5655,0.9143,13.4939
CMPD-1086,99.1528,714.8083,91.0089,12.5787,1.0853,0.8355,232.6052,60.2519,108.6444,0.419,13.871
CMPD-1087,90.1575,796.8519,93.7308,16.5928,1.0415,3.5987,263.8419,141.4235,185.8587,0.445,11.9241
CMPD-1088,85.3652,832.9059,62.7415,20.6323,1.17,1.3259,110.378,108.2715,84.2544,0.8557,46.1013
CMPD-1089,90.3899,709.9388,74.699,15.5767,1.4587,1.5462,216.1127,72.6284,53.3337,0.8325,19.5454
CMPD-1090,93.8962,724.212,93.0536,11.3421,1.1444,0.8994,227.8236,61.1333,117.8888,0.4376,13.236
CMPD-1091,92.5081,673.1504,54.344,19.8889,1.3868,3.3944,234.5561,102.6382,109.254,0.718,41.7347
CMPD-1092,88.9911,832.3526,63.7003,20.7105,1.169,1.4437,107.5706,108.2129,83.7876,0.8508,43.3249
CMPD-1093,98.384,736.8264,69.7371,15.5475,1.3994,1.524,214.8358,71.1321,52.9661,0.8495,18.9134
CMPD-1094,78.0649,683.7177,104.0568,23.2453,1.276,1.5632,164.8324,60.7918,129.6584,0.1368,25.2058
CMPD-1095,93.1811,817.4463,97.0782,16.6529,1.0763,3.5659,267.2351,146.1061,189.4215,0.4547,12.7362
CMPD-1096,87.8017,723.1982,92.6876,12.3067,1.0565,0.8501,241.5037,61.1722,115.5923,0.4044,14.509
CMPD-1097,91.0777,623.049,59.3202,20.2635,1.2986,3.4368,248.207,110.3207,113.1209,0.7353,42.6068
CMPD-1098,80.43,728.8478,59.9708,16.7378,1.0768,3.2964,299.7474,51.8671,87.5455,0.925,42.0464
CMPD-1099,83.8891,607.5061,93.2064,20.8962,1.4773,1.9528,180.0311,84.955,72.6241,0.8767,14.2766
CMPD-1100,93.4762,711.2721,93.6224,12.1557,1.1199,0.8534,239.1978,63.0309,110.5066,0.4351,14.198
CMPD-1101,95.8449,669.2732,56.6046,20.537,1.3395,3.6141,227.5159,110.6918,112.6727,0.7115,41.2266
CMPD-1102,93.1483,723.5735,87.4539,11.7487,1.1527,0.8846,239.162,63.6346,110.6707,0.4042,14.3529
CMPD-1103,82.3719,613.4369,97.8127,24.3082,1.2066,1.6117,157.5636,62.5601,127.2189,0.15,25.3599
CMPD-1104,90.5064,676.5299,55.4262,19.6073,1.392,3.59,240.8718,108.1138,111.7805,0.7314,43.2977
CMPD-1105,81.5071,755.2902,56.9767,16.0703,1.0648,3.2261,290.0815,52.7786,82.1483,0.8803,42.5667
CMPD-1106,98.3399,635.3305,57.1025,20.3435,1.3881,3.4189,240.6286,114.0507,109.8278,0.7237,41.0571
CMPD-1107,85.2922,660.6435,95.0964,22.8346,1.1665,1.5883,170.0009,59.717,127.2035,0.1543,23.5498
CMPD-1108,92.7196,653.3885,58.3354,20.4411,1.3263,3.3838,233.8557,104.8137,115.2659,0.6828,43.691
CMPD-1109,83.5089,615.387,102.3481,23.8638,1.1656,1.6726,168.9289,62.8042,130.9219,0.1476,25.6286
CMPD-1110,92.7825,712.0207,58.4604,17.923,1.3805,3.476,238.067,105.5839,118.0159,0.7616,40.1606
CMPD-1111,88.9112,810.734,60.8531,21.6884,1.2222,1.4716,106.3873,108.6726,83.337,0.8334,42.723
CMPD-1112,92.7645,790.4375,94.1874,15.9237,1.0955,3.6417,259.8958,143.7941,187.1404,0.4493,12.2547
CMPD-1113,91.6659,842.8722,101.5964,17.0991,1.0756,3.4778,257.4514,143.1706,180.3627,0.4636,11.5973
CMPD-1114,87.8983,627.2296,95.6377,24.863,1.2224,1.6121,167.5848,59.1878,129.86,0.145,25.7708
CMPD-1115,90.7647,829.0609,59.6131,21.3902,1.1594,1.3785,99.6145,104.2238,86.154,0.8565,41.314
CMPD-1116,84.9812,631.5858,98.1814,24.6083,1.1849,1.6862,164.0193,63.141,125.8749,0.1563,24.2428
CMPD-1117,90.1809,865.7147,60.5617,21.3622,1.1626,1.3904,106.605,110.2184,78.8482,0.8871,43.9064
CMPD-1118,83.7918,735.7494,62.7836,15.2628,1.0632,3.3941,293.906,55.3095,78.2697,0.9144,42.4021
CMPD-1119,86.8811,631.0661,99.1066,22.8261,1.2216,1.5842,160.5928,57.0027,132.7894,0.1549,26.0184
CMPD-1120,95.1787,680.1754,56.8787,19.9231,1.4008,3.6268,240.9524,112.8537,113.5355,0.7152,41.885
CMPD-1121,97.0006,688.1235,69.0672,15.2379,1.2753,1.4694,213.0006,71.028,52.3569,0.8391,19.1322
CMPD-1122,94.7071,826.0302,90.5057,15.5114,1.0542,3.5582,274.5774,136.735,185.8076,0.4422,11.5383
CMPD-1123,89.8537,826.2729,62.2491,21.3614,1.2519,1.4994,109.0749,106.6334,85.3032,0.8404,43.6117
CMPD-1124,78.8413,569.7716,100.6963,23.1037,1.4871,1.8509,192.5426,79.4509,74.691,0.8736,14.2387
CMPD-1125,85.1345,625.4343,97.025,21.5839,1.4165,1.901,189.038,88.7127,70.7519,0.8524,14.4204
CMPD-1126,94.2181,674.1773,53.4901,19.0672,1.4063,3.6332,244.6323,109.1575,115.4555,0.7492,42.8687
CMPD-1127,88.9906,796.4199,65.2468,22.2576,1.2001,1.3884,104.0231,111.7456,80.7898,0.8514,44.9873
CMPD-1128,93.2115,730.6324,91.548,11.5567,1.1685,0.9111,235.1172,60.6963,109.5826,0.4278,14.2033
CMPD-1129,80.5679,677.6896,104.1913,23.5868,1.1689,1.6555,165.5818,60.0978,132.6153,0.1495,24.6366
CMPD-1130,79.8502,583.8767,98.4511,22.5097,1.4487,1.8227,182.7279,82.5789,70.7309,0.8001,14.433
CMPD-1131,83.728,734.471,58.2752,16.9201,1.048,3.1408,289.1325,52.4046,79.9345,0.9514,44.3214
CMPD-1132,83.9719,603.5646,96.6147,22.0755,1.5353,1.9073,185.7756,84.4719,78.7952,0.9185,14.5251
CMPD-1133,93.478,797.8796,61.0016,21.4622,1.2065,1.4568,110.37,111.0759,83.4,0.9122,44.1531
CMPD-1134,80.948,646.2158,103.5678,23.6836,1.1441,1.6053,165.2562,59.1897,132.0572,0.1478,25.4659
CMPD-1135,94.0735,714.0835,73.332,15.664,1.3881,1.4569,224.8696,70.5241,54.4171,0.865,19.5197
CMPD-1136,85.0283,637.1368,101.8909,23.7038,1.2117,1.5642,164.4493,55.3624,131.9989,0.1535,24.502
CMPD-1137,97.9699,700.8251,89.2306,12.4092,1.1014,0.8225,237.5491,59.0042,120.1925,0.4315,13.9842
CMPD-1138,98.3861,723.3381,93.11,11.7131,1.0856,0.8635,236.9882,62.0214,112.1923,0.426,14.1042
CMPD-1139,86.4994,637.8304,99.532,22.7525,1.1916,1.5293,169.0919,56.871,126.1342,0.1451,24.7383
CMPD-1140,94.9288,806.0888,92.1602,15.8696,1.0555,3.4105,254.5266,139.1595,188.2237,0.4471,12.3681
CMPD-1141,78.5722,668.6491,98.9615,22.859,1.1745,1.7043,159.8139,58.6266,125.8778,0.1496,24.8195
CMPD-1142,89.9844,816.2345,65.0383,21.9214,1.2716,1.435,104.6144,110.7934,82.4021,0.89,45.4046
CMPD-1143,92.9414,864.3755,95.2722,15.6462,1.0365,3.465,273.3172,139.111,197.3571,0.4476,11.835
CMPD-1144,84.5173,573.4887,95.1335,20.7584,1.4714,1.896,193.3887,86.7441,74.4208,0.8508,13.1604
CMPD-1145,98.5493,639.071,58.8041,20.5195,1.328,3.5992,221.9971,109.9171,111.9872,0.7176,40.335
CMPD-1146,87.0346,674.9936,70.3189,15.4806,1.3549,1.5307,209.8616,66.1601,53.4047,0.8295,18.182
CMPD-1147,91.1129,829.4691,63.1485,21.315,1.2749,1.4305,96.2082,113.9808,81.2306,0.8165,41.7718
CMPD-1148,92.9655,829.8401,63.7134,20.5633,1.1837,1.4581,110.7005,112.9141,85.2652,0.8402,45.3564
CMPD-1149,78.81,743.6522,58.5866,16.3486,1.0404,3.4619,296.5299,56.423,80.3521,0.9104,43.8849
CMPD-1150,92.6074,735.2411,91.5144,11.3028,1.1313,0.8976,229.4116,60.2153,112.6197,0.4206,14.2183
CMPD-1151,86.8283,750.6134,60.2657,16.6214,1.0397,3.1956,298.9683,52.985,82.8967,0.8854,40.5538
CMPD-1152,89.7357,674.588,75.5432,15.4138,1.4358,1.4753,207.1007,70.817,54.6518,0.8676,19.7505
CMPD-1153,92.9819,738.4638,88.8343,11.9614,1.1247,0.8799,234.3703,64.4337,107.9555,0.4205,14.112
CMPD-1154,78.323,622.3144,94.9224,21.4395,1.5343,1.8716,174.7993,79.7184,73.8197,0.8347,13.884
CMPD-1155,81.3356,658.1247,99.8789,25.2653,1.1719,1.6284,166.5439,65.2804,125.3176,0.1462,24.9464
CMPD-1156,85.0266,651.1232,100.5244,24.8347,1.1926,1.6591,162.9391,58.7229,131.9855,0.1514,26.0486
CMPD-1157,84.4745,617.7695,93.657,23.2418,1.5036,2.0203,187.021,81.1775,75.1976,0.8274,14.6005
CMPD-1158,95.7267,698.5157,58.4229,20.0775,1.3075,3.6939,227.5686,110.155,115.0694,0.732,40.7132
CMPD-1159,83.142,666.1516,98.9694,23.2472,1.1552,1.6261,160.4153,61.818,127.6531,0.1595,25.6712
CMPD-1160,84.158,660.622,100.4465,23.5773,1.2349,1.5614,169.6769,59.4907,126.0464,0.1503,25.2596
CMPD-1161,83.2582,749.2477,62.7386,15.8709,1.0087,3.3599,294.2727,50.3712,76.5412,0.8839,43.6266
CMPD-1162,82.9556,639.0803,93.3419,24.6296,1.2143,1.5797,170.7623,58.6875,131.7571,0.1422,27.1644
CMPD-1163,89.2969,737.5585,87.9523,12.2167,1.1588,0.8561,224.5565,58.1334,113.3202,0.4281,13.9915
CMPD-1164,96.9907,834.4012,95.2803,16.7118,1.0505,3.6274,253.1331,143.9083,180.699,0.4356,13.0509
CMPD-1165,79.0398,700.4875,63.5415,15.8062,1.0214,3.4083,308.6206,51.4698,82.292,0.8894,41.856
CMPD-1166,83.7706,730.1766,61.7075,16.4072,1.0436,3.2365,295.848,52.5176,85.321,0.8717,41.7848
CMPD-1167,91.8315,720.9586,91.0966,11.4284,1.0715,0.8624,232.4303,60.8335,115.8708,0.4129,14.117
CMPD-1168,92.52,652.6453,56.2558,19.8721,1.3539,3.5829,237.3716,109.0599,115.3134,0.7488,42.1204
CMPD-1169,91.6534,831.8977,63.1781,21.3183,1.2337,1.4354,107.4861,110.1298,83.4463,0.8857,43.5552
CMPD-1170,94.8141,791.2666,93.1799,16.1701,1.0552,3.4231,263.862,147.3537,187.6275,0.4619,12.7915
CMPD-1171,91.1665,850.4648,62.3453,19.8761,1.2039,1.4453,106.7259,106.4759,85.7359,0.8823,45.8679
CMPD-1172,95.2904,687.8763,93.2621,12.3705,1.1334,0.8993,240.2157,58.099,112.6125,0.4315,14.4163
CMPD-1173,93.3973,689.7304,91.3256,11.7482,1.0685,0.886,241.256,63.8717,110.1095,0.4315,14.1321
CMPD-1174,84.6033,599.043,95.4156,21.6824,1.5497,1.944,183.8945,80.4313,75.3922,0.8024,13.7454
CMPD-1175,79.8396,730.6812,59.4852,16.2444,1.063,3.3653,296.1832,54.8722,79.2916,0.8897,41.8404
CMPD-1176,88.1182,620.0034,97.5476,22.1374,1.5004,1.9358,188.2674,84.3549,71.3852,0.8759,14.0995
CMPD-1177,77.5236,594.7776,95.3166,21.6788,1.4165,1.8564,184.2278,83.0697,71.236,0.8513,13.3093
CMPD-1178,82.5632,728.5057,61.9682,17.0486,1.0424,3.1442,296.1032,54.0364,79.2665,0.8217,44.1786
CMPD-1179,96.4886,692.0287,75.9064,15.2589,1.3783,1.4633,233.0469,67.4391,54.6158,0.8282,18.9214
CMPD-1180,95.7419,717.3191,89.9454,11.3913,1.142,0.8821,240.3872,64.3506,113.6345,0.4249,13.7939
CMPD-1181,93.1401,693.6807,73.9681,15.6685,1.3455,1.4837,213.4027,72.1697,53.8595,0.8412,19.3666
CMPD-1182,93.362,682.1001,74.2705,15.5693,1.3951,1.4816,214.4618,69.8047,52.4536,0.8295,19.4049
CMPD-1183,80.2309,702.1209,59.3779,16.1085,1.0756,3.3237,292.8816,50.9153,83.7009,0.8587,38.9181
CMPD-1184,80.1204,650.0315,99.7329,23.4258,1.1814,1.6157,154.9173,62.2497,124.4047,0.1488,26.4295
CMPD-1185,97.6445,693.2571,72.5447,15.5248,1.4117,1.5522,214.6828,69.6114,54.192,0.8516,19.0407
CMPD-1186,85.3768,826.6521,64.1115,20.7257,1.142,1.3868,101.6479,108.1124,82.9485,0.8633,43.9999
CMPD-1187,83.2038,737.3044,60.9593,16.2091,1.074,3.3266,301.1037,51.3467,77.711,0.9175,43.2884
CMPD-1188,96.4752,707.9688,89.0461,11.577,1.0739,0.9252,234.6132,60.9383,109.4885,0.3988,14.6444
CMPD-1189,85.8918,612.8694,94.9612,21.6371,1.3929,1.9723,175.3654,82.2665,74.0494,0.8804,14.1323
CMPD-1190,93.713,745.8168,85.813,12.0103,1.0783,0.8542,234.5597,64.3141,114.9946,0.4178,13.3841
CMPD-1191,94.1069,808.8127,97.4187,16.1425,1.0248,3.4733,270.5535,146.5034,183.8105,0.4591,12.4076
CMPD-1192,77.1061,728.5486,62.0956,17.1128,1.1032,3.2717,296.6489,54.5175,78.7223,0.8659,42.4865
CMPD-1193,95.5106,879.5137,93.2623,16.3476,1.0026,3.4894,272.4641,150.6793,187.5623,0.4288,12.8418
CMPD-1194,84.1199,844.5631,62.5172,22.9662,1.202,1.3628,108.6384,114.187,84.919,0.8576,44.0056
CMPD-1195,81.0513,609.5894,98.1813,24.512,1.1676,1.5435,158.0212,58.9834,125.1491,0.1441,23.6132
CMPD-1196,82.9539,599.7775,97.4979,24.3287,1.195,1.6786,161.2423,58.7761,125.9292,0.1469,26.4682
CMPD-1197,87.1208,794.4884,60.7967,21.0841,1.2038,1.4031,106.6302,107.8523,81.6779,0.8894,47.8682
CMPD-1198,96.942,837.9062,92.7736,16.2033,1.0301,3.4313,261.1936,135.5193,187.4762,0.4597,12.559
CMPD-1199,83.7244,751.35,59.8381,15.3821,1.0498,3.329,289.4085,50.8691,82.7641,0.9103,41.5218
CMPD-1200,96.4379,671.0581,55.2275,20.1525,1.3126,3.6387,239.4127,107.9743,112.9588,0.731,43.1043
CMPD-1201,85.832,667.1496,98.6013,23.7654,1.1771,1.5525,169.1522,60.6957,128.2694,0.1551,26.1774
CMPD-1202,97.1123,839.7228,92.3513,16.1525,1.0452,3.3316,265.6142,135.9226,184.0492,0.4659,12.4142
CMPD-1203,81.2644,714.2466,60.3543,15.4388,1.0607,3.148,293.7805,53.8548,81.4337,0.8704,43.6477
CMPD-1204,82.8455,763.8793,62.3838,16.5615,1.0355,3.3851,286.7232,53.2426,80.5779,0.8569,42.7934
CMPD-1205,81.9442,626.2598,94.6754,21.4375,1.5356,1.9684,180.3707,80.1995,74.6263,0.8815,13.19
CMPD-1206,86.7572,824.8456,61.8698,20.4546,1.2152,1.3018,112.2201,108.1571,84.8283,0.8436,44.2376
CMPD-1207,84.4578,653.3567,101.7224,24.1336,1.1917,1.6624,159.2756,58.9852,128.7664,0.1452,26.5206
CMPD-1208,95.4707,692.1013,94.8495,11.9751,1.0901,0.8622,230.3426,61.1211,109.4249,0.4429,13.7031
CMPD-1209,84.097,774.742,59.999,16.9774,1.0066,3.3242,297.4694,54.9672,79.8975,0.9467,40.3874
CMPD-1210,89.0688,660.8267,57.3169,19.4298,1.3763,3.5647,241.6458,106.0326,109.2273,0.7328,40.8404
CMPD-1211,79.4287,722.3647,64.3959,15.5933,1.0914,3.585,292.0854,55.5592,79.7145,0.8957,40.5176
CMPD-1212,90.0879,721.285,88.4075,12.7267,1.0992,0.8398,239.589,56.6896,109.2279,0.4321,13.4139
CMPD-1213,96.8807,665.0007,56.2946,20.0409,1.3704,3.4671,237.9845,105.9058,109.5348,0.7141,42.773
CMPD-1214,84.0182,622.3288,95.7766,21.5878,1.4906,1.9063,190.888,81.2822,68.99,0.888,14.0561
CMPD-1215,82.4419,665.7041,101.5235,23.7821,1.0859,1.6974,164.1252,58.9112,129.1992,0.1464,25.2457
CMPD-1216,93.3255,815.5149,60.8428,21.0817,1.1915,1.4027,103.8665,110.8624,81.3235,0.8786,45.4277
CMPD-1217,94.163,715.9417,88.1343,11.1749,1.0964,0.9049,238.3255,60.7117,112.8823,0.4217,14.0464
CMPD-1218,93.3223,838.9813,90.563,16.0635,1.0453,3.4657,253.65,138.7008,190.5257,0.4375,12.3158
CMPD-1219,90.7636,694.0223,75.1386,14.8251,1.3676,1.4383,218.1366,73.1261,54.4568,0.7632,18.6893
CMPD-1220,89.175,859.3131,60.9057,20.1062,1.1929,1.3824,105.0648,114.517,83.7168,0.8701,47.6533
CMPD-1221,82.7997,588.7533,97.8009,21.4866,1.5732,1.972,189.3163,83.412,70.2987,0.8145,13.8262
CMPD-1222,84.7115,613.5477,101.7219,24.279,1.216,1.5812,164.874,61.5333,125.7668,0.1522,25.7871
